[2017-03-13T16:39:13.963Z, 789.0]
[2017-03-13T16:39:14.963Z, 787.0]
[2017-03-13T16:39:15.962Z, 784.0]
[2017-03-13T16:39:16.962Z, 790.0]
[2017-03-13T16:39:17.961Z, 802.0]
[2017-03-13T16:39:18.966Z, 773.0]
[2017-03-13T16:39:19.966Z, 778.0]
[2017-03-13T16:39:20.964Z, 782.0]
[2017-03-13T16:39:21.965Z, 781.0]
[2017-03-13T16:39:22.965Z, 777.0]
[2017-03-13T16:39:23.965Z, 774.0]
[2017-03-13T16:39:24.966Z, 773.0]
[2017-03-13T16:39:25.969Z, 777.0]
[2017-03-13T16:39:26.969Z, 786.0]
[2017-03-13T16:39:27.97Z, 792.0]
[2017-03-13T16:39:28.97Z, 777.0]
[2017-03-13T16:39:29.969Z, 772.0]
[2017-03-13T16:39:30.971Z, 796.0]
[2017-03-13T16:39:31.972Z, 799.0]
[2017-03-13T16:39:32.971Z, 788.0]
[2017-03-13T16:39:33.971Z, 783.0]
[2017-03-13T16:39:34.976Z, 780.0]
[2017-03-13T16:39:35.975Z, 785.0]
[2017-03-13T16:39:36.975Z, 795.0]
[2017-03-13T16:39:37.975Z, 786.0]
[2017-03-13T16:39:38.974Z, 780.0]
[2017-03-13T16:39:39.98Z, 789.0]
[2017-03-13T16:39:40.98Z, 796.0]
[2017-03-13T16:39:41.98Z, 773.0]
[2017-03-13T16:39:42.979Z, 770.0]
[2017-03-13T16:39:43.979Z, 771.0]
[2017-03-13T16:39:44.979Z, 772.0]
[2017-03-13T16:39:45.986Z, 771.0]
[2017-03-13T16:39:46.985Z, 772.0]
[2017-03-13T16:39:47.984Z, 771.0]
[2017-03-13T16:39:48.985Z, 770.0]
[2017-03-13T16:39:49.985Z, 770.0]
[2017-03-13T16:39:50.984Z, 769.0]
[2017-03-13T16:39:51.983Z, 769.0]
[2017-03-13T16:39:52.982Z, 768.0]
[2017-03-13T16:39:53.987Z, 768.0]
[2017-03-13T16:39:54.986Z, 769.0]
[2017-03-13T16:39:55.985Z, 770.0]
[2017-03-13T16:39:56.986Z, 771.0]
[2017-03-13T16:39:57.987Z, 772.0]
[2017-03-13T16:39:58.987Z, 771.0]
[2017-03-13T16:39:59.987Z, 770.0]
[2017-03-13T16:40:00.987Z, 770.0]
[2017-03-13T16:40:01.987Z, 770.0]
[2017-03-13T16:40:02.991Z, 770.0]
[2017-03-13T16:40:03.991Z, 769.0]
[2017-03-13T16:40:04.991Z, 770.0]
[2017-03-13T16:40:05.99Z, 770.0]
[2017-03-13T16:40:06.998Z, 770.0]
[2017-03-13T16:40:07.996Z, 769.0]
[2017-03-13T16:40:08.995Z, 769.0]
[2017-03-13T16:40:09.996Z, 770.0]
[2017-03-13T16:40:10.994Z, 769.0]
[2017-03-13T16:40:11.995Z, 768.0]
[2017-03-13T16:40:12.994Z, 770.0]
[2017-03-13T16:40:13.998Z, 769.0]
[2017-03-13T16:40:14.997Z, 770.0]
[2017-03-13T16:40:15.996Z, 770.0]
