[2017-03-13T16:38:11.913Z, 42.0]
[2017-03-13T16:38:12.911Z, 42.0]
[2017-03-13T16:38:13.91Z, 42.0]
[2017-03-13T16:38:14.914Z, 42.0]
[2017-03-13T16:38:15.912Z, 42.0]
[2017-03-13T16:38:16.913Z, 42.0]
[2017-03-13T16:38:17.916Z, 42.0]
[2017-03-13T16:38:18.914Z, 42.0]
[2017-03-13T16:38:19.919Z, 42.0]
[2017-03-13T16:38:20.917Z, 42.0]
[2017-03-13T16:38:21.917Z, 42.0]
[2017-03-13T16:38:22.92Z, 42.0]
[2017-03-13T16:38:23.92Z, 42.0]
[2017-03-13T16:38:24.925Z, 42.0]
[2017-03-13T16:38:25.924Z, 44.0]
[2017-03-13T16:38:26.924Z, 45.0]
[2017-03-13T16:38:27.929Z, 49.0]
[2017-03-13T16:38:28.927Z, 45.0]
[2017-03-13T16:38:29.926Z, 46.0]
[2017-03-13T16:38:30.924Z, 43.0]
[2017-03-13T16:38:31.929Z, 42.0]
[2017-03-13T16:38:32.929Z, 42.0]
[2017-03-13T16:38:33.928Z, 44.0]
[2017-03-13T16:38:34.928Z, 45.0]
[2017-03-13T16:38:35.931Z, 43.0]
[2017-03-13T16:38:36.931Z, 44.0]
[2017-03-13T16:38:37.938Z, 42.0]
[2017-03-13T16:38:38.931Z, 45.0]
[2017-03-13T16:38:39.938Z, 44.0]
[2017-03-13T16:38:40.936Z, 43.0]
[2017-03-13T16:38:41.936Z, 45.0]
[2017-03-13T16:38:42.936Z, 44.0]
[2017-03-13T16:38:43.936Z, 46.0]
[2017-03-13T16:38:44.936Z, 43.0]
[2017-03-13T16:38:45.939Z, 45.0]
[2017-03-13T16:38:46.939Z, 44.0]
[2017-03-13T16:38:47.939Z, 42.0]
[2017-03-13T16:38:48.939Z, 44.0]
[2017-03-13T16:38:49.938Z, 42.0]
[2017-03-13T16:38:50.938Z, 42.0]
[2017-03-13T16:38:51.942Z, 44.0]
[2017-03-13T16:38:52.941Z, 43.0]
[2017-03-13T16:38:53.941Z, 43.0]
[2017-03-13T16:38:54.941Z, 42.0]
[2017-03-13T16:38:55.948Z, 42.0]
[2017-03-13T16:38:56.947Z, 43.0]
[2017-03-13T16:38:57.951Z, 47.0]
[2017-03-13T16:38:58.952Z, 44.0]
[2017-03-13T16:38:59.952Z, 55.0]
[2017-03-13T16:39:00.951Z, 54.0]
[2017-03-13T16:39:01.952Z, 48.0]
[2017-03-13T16:39:02.954Z, 50.0]
[2017-03-13T16:39:03.955Z, 45.0]
[2017-03-13T16:39:04.959Z, 42.0]
[2017-03-13T16:39:05.958Z, 42.0]
[2017-03-13T16:39:06.957Z, 42.0]
[2017-03-13T16:39:07.957Z, 42.0]
