name,time,M1_CURRENT_FEEDRATE,S1.ActualAcceleration,S1.ActualPosition,S1.ActualVelocity,S1.CommandAcceleration,S1.CommandPosition,S1.CommandVelocity,S1.CurrentCommand,S1.CurrentFeedback,S1.CurrentReference,S1.DCBusVoltage,S1.LoadObserverTorqueEstimate,S1.OutputCurrent,S1.OutputPower,S1.OutputVoltage,S1.SystemInertia,S1.TorqueLowPassFilterBandwidthEstimate,S1.TorqueReference,X1.ActualAcceleration,X1.ActualPosition,X1.ActualVelocity,X1.CommandAcceleration,X1.CommandPosition,X1.CommandVelocity,X1.CurrentCommand,X1.CurrentFeedback,X1.CurrentReference,X1.DCBusVoltage,X1.LoadObserverTorqueEstimate,X1.OutputCurrent,X1.OutputPower,X1.OutputVoltage,X1.TorqueLowPassFilterBandwidthEstimate,X1.TorqueReference,Y1.ActualAcceleration,Y1.ActualPosition,Y1.ActualVelocity,Y1.CommandAcceleration,Y1.CommandPosition,Y1.CommandVelocity,Y1.CurrentCommand,Y1.CurrentFeedback,Y1.CurrentReference,Y1.DCBusVoltage,Y1.LoadObserverTorqueEstimate,Y1.OutputCurrent,Y1.OutputPower,Y1.OutputVoltage,Y1.TorqueLowPassFilterBandwidthEstimate,Y1.TorqueReference,Z1.ActualAcceleration,Z1.ActualPosition,Z1.ActualVelocity,Z1.CommandAcceleration,Z1.CommandPosition,Z1.CommandVelocity,Z1.CurrentCommand,Z1.CurrentFeedback,Z1.CurrentReference,Z1.DCBusVoltage,Z1.LoadObserverTorqueEstimate,Z1.OutputCurrent,Z1.OutputPower,Z1.OutputVoltage,Z1.TorqueLowPassFilterBandwidthEstimate,Z1.TorqueReference
Timestamp,2017-07-25T20:32:58.469Z,50,17.25,-2086.905,23.367,-9.536742e-07,-2086.711,23.33333,0,17.12921,0,320.2382,0,0.7122643,0.05951588,55.42388,0.4636263,0,0,25,149.5136,-25.025,0,149.3137,-25,0,-7.879195,0,323.9553,0,0.1486202,0.007816848,39.43006,0,0,-37.5,111.3679,-0.075,0,111.368,0,0,2.792289,0,323.4695,0,0.04974793,0,1.608465,0,0,-6.25,50.8011,0,0,50.801,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:58.768Z,50,4.6875,-2079.998,23.31025,0,-2079.804,23.33333,0,18.21361,0,322.7784,0,0.7273211,0.06197831,57.60794,0.4636263,0,0,-93.74999,142.1139,-25.275,0,141.9137,-25,0,-8.026622,0,323.8206,0,0.1502676,0.008183027,38.23292,0,0,31.25,111.3682,0.075,0,111.368,0,0,0.3091961,0,323.3055,0,0.0382384,-4.633546e-06,4.453759,0,0,0,50.801,0,0,50.801,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:58.969Z,50,-11.875,-2075.238,23.2935,-9.536742e-07,-2075.044,23.33333,0,19.77196,0,320.5003,0,0.7416797,0.06247636,55.63892,0.4636263,0,0,43.75,137.0133,-25.05,0,136.8137,-25,0,-7.180035,0,323.3736,0,0.121289,0.006481152,39.13035,0,0,-25,111.368,-0.05,0,111.368,0,0,2.078856,0,323.5256,0,0.0467182,6.785837e-06,2.484884,0,0,0,50.8011,0,0,50.801,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:59.069Z,50,-2.3125,-2072.906,23.26775,0,-2072.711,23.33333,0,21.63535,0,319.6004,0,0.8739501,0.07310256,56.42367,0.4636263,0,0,43.75,134.5139,-25,0,134.3137,-25,0,-7.588098,0,323.579,0,0.1381653,0.007294046,39.76987,0,0,-12.5,111.368,-0.025,0,111.368,0,0,1.589773,0,323.2697,0,0.04516994,2.061813e-05,2.96285,0,0,6.25,50.8011,0.025,0,50.801,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:59.37Z,50,5.75,-2065.905,23.34125,0,-2065.711,23.33333,0,17.5567,0,320.0865,0,0.7226214,0.06088382,56.55197,0.4636263,0,0,-12.5,128.8269,0,0,128.8271,0,0,0.6334628,0,324.6752,0,0.02728635,3.271816e-06,1.971118,0,0,-25,111.368,-0.05,0,111.368,0,0,1.834269,0,323.5434,0,0.04544444,3.382007e-05,2.710329,0,0,1081.25,49.3908,-31.7,968.7499,49.1525,-26.125,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:59.472Z,50,-3.9375,-2063.572,23.32525,-9.536742e-07,-2063.378,23.33333,0,16.38354,0,321.3477,0,0.6792343,0.05692834,58.01755,0.4636263,0,0,-12.5,128.8271,-0.025,0,128.8271,0,0,-0.07425822,0,325.4032,0,0.02494962,1.97637e-06,2.209915,0,0,-25,111.368,-0.05,0,111.368,0,0,2.757225,0,324.0193,0,0.04682146,0,2.107574,0,0,-6.25,46.8521,-25.05,0,46.6525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:59.869Z,50,4.6875,-2054.238,23.335,0,-2054.044,23.33333,0,17.87002,0,320.7082,0,0.7056587,0.05971174,56.35106,0.4636263,0,0,-12.5,128.8271,-0.025,0,128.8271,0,0,0.7403302,0,325.2593,0,0.02226461,-1.917977e-06,1.125432,0,0,-12.5,111.368,-0.025,0,111.368,0,0,2.134706,0,323.7377,0,0.04422769,1.334599e-05,1.531784,0,0,50,36.8524,-24.925,0,36.6525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:32:59.969Z,50,-6.875,-2051.906,23.26325,-9.536742e-07,-2051.711,23.33333,0,21.79581,0,319.9877,0,0.8948206,0.07533696,55.87017,0.4636263,0,0,-12.5,128.8271,-0.025,0,128.8271,0,0,0.09429286,0,325.3266,0,0.0284906,0,6.308024,0,0,-6.25,111.368,-0.025,0,111.368,0,0,2.212231,0,323.9079,0,0.04583913,1.322127e-05,2.626647,0,0,37.5,34.3525,-24.975,0,34.1525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:00.069Z,50,-14.375,-2049.572,23.28575,0,-2049.378,23.33333,0,18.81851,0,320.4037,0,0.7715553,0.06504001,58.89249,0.4636263,0,0,-6.25,128.827,-0.025,0,128.8271,0,0,0.7022382,0,325.3474,0,0.02010698,1.591263e-06,1.494546,0,0,0,111.3681,0,0,111.368,0,0,2.379398,0,323.861,0,0.04222959,6.264734e-06,1.187655,0,0,56.25,31.852,-25,0,31.6525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:00.169Z,50,14.25,-2047.238,23.35125,0,-2047.044,23.33333,0,17.86691,0,320.7151,0,0.7300192,0.0618825,56.73981,0.4636263,0,0,-12.5,128.8271,-0.025,0,128.8271,0,0,0.06377167,0,325.1916,0,0.02270978,3.498297e-06,2.155492,0,0,-6.25,111.368,-0.025,0,111.368,0,0,1.889951,0,323.811,0,0.04700352,1.985557e-05,1.95107,0,0,25,29.3525,-25,0,29.1525,-25,0,0,0,0,0,0,0,0,0,0
